asset_id,ward,suggested_name,osm_name,osm_name_ja,distance_m
RA-ATSU-1688,Atsuta-ku,国道154号,国道154号,国道154号,44.7
RA-ATSU-1703,Atsuta-ku,大瀬子歩道橋,大瀬子歩道橋,大瀬子歩道橋,41.2
RA-ATSU-1713,Atsuta-ku,国道154号,国道154号,国道154号,42.0
RA-ATSU-1714,Atsuta-ku,国道154号,国道154号,国道154号,41.8
RA-ATSU-1715,Atsuta-ku,国道154号,国道154号,国道154号,41.8
RA-ATSU-1716,Atsuta-ku,国道154号,国道154号,国道154号,41.9
RA-ATSU-1717,Atsuta-ku,国道154号,国道154号,国道154号,42.0
RA-ATSU-1718,Atsuta-ku,国道154号,国道154号,国道154号,36.0
RA-ATSU-1726,Atsuta-ku,国道154号,国道154号,国道154号,47.5
RA-ATSU-1727,Atsuta-ku,国道154号,国道154号,国道154号,45.7
RA-ATSU-1728,Atsuta-ku,国道154号,国道154号,国道154号,44.7
RA-ATSU-1729,Atsuta-ku,船方歩道橋,船方歩道橋,,34.0
RA-ATSU-1730,Atsuta-ku,国道1号,国道1号,国道1号,49.7
RA-ATSU-1731,Atsuta-ku,国道154号,国道154号,国道154号,43.3
RA-ATSU-1732,Atsuta-ku,国道154号,国道154号,国道154号,42.2
RA-ATSU-1747,Atsuta-ku,国道1号,国道1号,国道1号,52.3
RA-ATSU-1754,Atsuta-ku,国道154号,国道154号,国道154号,41.8
RA-ATSU-1767,Atsuta-ku,国道1号,国道1号,国道1号,50.4
RA-ATSU-1771,Atsuta-ku,国道1号,国道1号,国道1号,53.5
RA-ATSU-1773,Atsuta-ku,国道154号,国道154号,国道154号,42.9
RA-ATSU-1781,Atsuta-ku,国道154号,国道154号,国道154号,42.0
RA-ATSU-1801,Atsuta-ku,国道154号,国道154号,国道154号,37.0
RA-ATSU-1807,Atsuta-ku,国道154号,国道154号,国道154号,37.7
RA-ATSU-1815,Atsuta-ku,国道154号,国道154号,国道154号,37.4
RA-ATSU-1827,Atsuta-ku,国道154号,国道154号,国道154号,37.2
RA-ATSU-1831,Atsuta-ku,八熊通,八熊通,八熊通,46.1
RA-ATSU-1836,Atsuta-ku,伏見通,伏見通,伏見通,53.2
RA-ATSU-1839,Atsuta-ku,大津通,大津通,大津通,58.6
RA-ATSU-1862,Atsuta-ku,豆田町線,豆田町線,豆田町線,46.3
RA-ATSU-1863,Atsuta-ku,大津通,大津通,大津通,57.0
RA-ATSU-1864,Atsuta-ku,大津通,大津通,大津通,40.9
RA-ATSU-1870,Atsuta-ku,大津通,大津通,大津通,57.0
RA-ATSU-1888,Atsuta-ku,伏見通,伏見通,伏見通,41.3
RA-ATSU-1902,Atsuta-ku,伏見通,伏見通,伏見通,48.5
RA-ATSU-1906,Atsuta-ku,大津通,大津通,大津通,59.1
RA-ATSU-1911,Atsuta-ku,大津通,大津通,大津通,59.6
RA-ATSU-1916,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,41.6
RA-ATSU-1922,Atsuta-ku,大津通,大津通,大津通,54.1
RA-ATSU-1923,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,41.8
RA-ATSU-1926,Atsuta-ku,伏見通,伏見通,伏見通,34.4
RA-ATSU-1927,Atsuta-ku,伏見通,伏見通,伏見通,52.1
RA-ATSU-1929,Atsuta-ku,大津通,大津通,大津通,40.8
RA-ATSU-1930,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,41.4
RA-ATSU-1935,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,39.7
RA-ATSU-1944,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,48.9
RA-ATSU-1952,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,44.0
RA-ATSU-1954,Atsuta-ku,八熊通,八熊通,八熊通,57.1
RA-ATSU-1958,Atsuta-ku,大津通,大津通,大津通,40.8
RA-ATSU-1964,Atsuta-ku,大津通,大津通,大津通,47.8
RA-ATSU-1969,Atsuta-ku,伏見通,伏見通,伏見通,54.9
RA-ATSU-1972,Atsuta-ku,大津通,大津通,大津通,54.1
RA-ATSU-1981,Atsuta-ku,伏見通,伏見通,伏見通,56.8
RA-ATSU-1986,Atsuta-ku,津島七宝名古屋線,津島七宝名古屋線,津島七宝名古屋線,46.5
RA-ATSU-1987,Atsuta-ku,津島七宝名古屋線,津島七宝名古屋線,津島七宝名古屋線,47.1
RA-ATSU-2004,Atsuta-ku,八熊通,八熊通,八熊通,37.7
RA-ATSU-2030,Atsuta-ku,伏見通,伏見通,伏見通,44.0
RA-ATSU-2033,Atsuta-ku,津島七宝名古屋線,津島七宝名古屋線,津島七宝名古屋線,41.6
RA-ATSU-2035,Atsuta-ku,西川端金山町線,西川端金山町線,西川端金山町線,38.6
RA-ATSU-2041,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,46.5
RA-ATSU-2042,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,59.2
RA-ATSU-2044,Atsuta-ku,新尾頭金山線,新尾頭金山線,,43.6
RA-ATSU-2045,Atsuta-ku,西川端金山町線,西川端金山町線,西川端金山町線,40.6
RA-ATSU-2049,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,41.0
RA-ATSU-2055,Atsuta-ku,八熊通,八熊通,八熊通,46.1
RA-ATSU-2057,Atsuta-ku,八熊通,八熊通,八熊通,58.0
RA-ATSU-2058,Atsuta-ku,八熊通,八熊通,八熊通,56.7
